GO_0003674|molecular_function
GO_2000155|positive regulation of cilium-dependent cell motility
GO_1990079|cartilage homeostasis
GO_1905132|regulation of meiotic chromosome separation
GO_1905133|negative regulation of meiotic chromosome separation
GO_1903708|positive regulation of hemopoiesis
GO_1902686|mitochondrial outer membrane permeabilization involved in programmed cell death
GO_1905395|response to flavonoid
GO_1905396|cellular response to flavonoid
GO_1904035|regulation of epithelial cell apoptotic process
GO_1904036|negative regulation of epithelial cell apoptotic process
GO_1904037|positive regulation of epithelial cell apoptotic process
GO_2001242|regulation of intrinsic apoptotic signaling pathway
GO_2001243|negative regulation of intrinsic apoptotic signaling pathway
GO_2001244|positive regulation of intrinsic apoptotic signaling pathway
GO_1903972|regulation of cellular response to macrophage colony-stimulating factor stimulus
GO_1990127|intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator
GO_1903817|negative regulation of voltage-gated potassium channel activity
GO_1903764|regulation of potassium ion export across plasma membrane
GO_1903765|negative regulation of potassium ion export across plasma membrane
GO_1903766|positive regulation of potassium ion export across plasma membrane
GO_1902669|positive regulation of axon guidance
GO_1903326|regulation of tRNA metabolic process
GO_1903327|negative regulation of tRNA metabolic process
GO_1903328|positive regulation of tRNA metabolic process
GO_1905214|regulation of RNA binding
GO_1905216|positive regulation of RNA binding
GO_1902992|negative regulation of amyloid precursor protein catabolic process
GO_1990395|meiotic spindle pole body organization
GO_1905774|regulation of DNA helicase activity
GO_1905775|negative regulation of DNA helicase activity
GO_1905776|positive regulation of DNA helicase activity
GO_2000036|regulation of stem cell population maintenance
GO_1990069|stomatal opening
GO_2000073|regulation of cytokinesis, site selection
GO_1990228|sulfurtransferase complex
GO_1903624|regulation of DNA catabolic process
GO_1903625|negative regulation of DNA catabolic process
GO_1903626|positive regulation of DNA catabolic process
GO_1904631|response to glucoside
GO_1902916|positive regulation of protein polyubiquitination
GO_2000468|regulation of peroxidase activity
GO_2000469|negative regulation of peroxidase activity
GO_2000470|positive regulation of peroxidase activity
GO_1905348|endonuclease complex
GO_1902584|positive regulation of response to water deprivation
GO_1902585|
GO_1902586|obsolete multi-organism intercellular transport
GO_1902587|
GO_1902588|obsolete multi-organism plasmodesmata-mediated intercellular transport
GO_1902589|
GO_1902590|obsolete multi-organism organelle organization
GO_1902591|
GO_1902592|obsolete multi-organism membrane budding
GO_1902593|
GO_1902594|obsolete multi-organism nuclear import
GO_1902595|regulation of DNA replication origin binding
GO_1902596|negative regulation of DNA replication origin binding
GO_1902597|positive regulation of DNA replication origin binding
GO_1902598|
GO_1902604|p-aminobenzoyl-glutamate transmembrane transport
GO_1902605|heterotrimeric G-protein complex assembly
GO_1902606|regulation of large conductance calcium-activated potassium channel activity
GO_1902607|negative regulation of large conductance calcium-activated potassium channel activity
GO_1902608|positive regulation of large conductance calcium-activated potassium channel activity
GO_1902609|(R)-2-hydroxy-alpha-linolenic acid biosynthetic process
GO_1902610|response to N-phenylthiourea
GO_1902611|cellular response to N-phenylthiourea
GO_1902612|regulation of anti-Mullerian hormone signaling pathway
GO_1990262|anti-Mullerian hormone signaling pathway
GO_1902613|negative regulation of anti-Mullerian hormone signaling pathway
GO_1902614|positive regulation of anti-Mullerian hormone signaling pathway
GO_1902615|immune response involved in response to exogenous dsRNA
GO_1902617|response to fluoride
GO_1902619|regulation of microtubule minus-end binding
GO_1904526|regulation of microtubule binding
GO_1902620|positive regulation of microtubule minus-end binding
GO_1904528|positive regulation of microtubule binding
GO_1902621|actomyosin contractile ring disassembly
GO_1902625|obsolete negative regulation of induction of conjugation with cellular fusion by negative regulation of transcription from RNA polymerase II promoter
GO_1902626|assembly of large subunit precursor of preribosome
GO_1902627|regulation of assembly of large subunit precursor of preribosome
GO_1902628|positive regulation of assembly of large subunit precursor of preribosome
GO_1902629|regulation of mRNA stability involved in cellular response to UV
GO_1902630|regulation of membrane hyperpolarization
GO_1902631|negative regulation of membrane hyperpolarization
GO_1902632|positive regulation of membrane hyperpolarization
GO_1902633|1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate metabolic process
GO_1902634|1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate catabolic process
GO_1902635|1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process
GO_1902636|kinociliary basal body
GO_1902637|neural crest cell differentiation involved in thymus development
GO_1902638|neural crest cell differentiation involved in parathyroid gland development
GO_1902639|propan-2-ol metabolic process
GO_1902640|propan-2-ol biosynthetic process
GO_1902641|regulation of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate catabolic process
GO_1902642|negative regulation of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate catabolic process
GO_1902643|positive regulation of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate catabolic process
GO_1902646|regulation of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process
GO_1902647|negative regulation of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process
GO_1902648|positive regulation of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process
GO_1902649|obsolete regulation of histone H2A-H2B dimer displacement
GO_1902650|obsolete negative regulation of histone H2A-H2B dimer displacement
GO_1902651|obsolete positive regulation of histone H2A-H2B dimer displacement
GO_1902654|aromatic primary alcohol metabolic process
GO_1902655|aromatic primary alcohol biosynthetic process
GO_1902656|calcium ion import into cytosol
GO_1902658|
GO_1902661|positive regulation of glucose mediated signaling pathway
GO_1902662|regulation of peptidyl-L-cysteine S-palmitoylation
GO_1902663|negative regulation of peptidyl-L-cysteine S-palmitoylation
GO_1902664|positive regulation of peptidyl-L-cysteine S-palmitoylation
GO_1903061|positive regulation of protein lipidation
GO_1902665|response to isobutanol
GO_1902666|obsolete protein localization to Mmi1 nuclear focus complex
GO_1902670|carbon dioxide binding
GO_1902681|regulation of replication fork arrest at rDNA repeats
GO_1902682|protein localization to pericentric heterochromatin
GO_1902684|negative regulation of receptor localization to synapse
GO_1902685|positive regulation of receptor localization to synapse
GO_1902688|regulation of NAD metabolic process
GO_1902689|negative regulation of NAD metabolic process
GO_1902690|positive regulation of NAD metabolic process
GO_1902691|respiratory basal cell differentiation
GO_1902693|superoxide dismutase complex
GO_1902694|superoxide dismutase copper chaperone complex
GO_1902695|metallochaperone complex
GO_1902696|glycine catabolic process to isobutanol
GO_1902697|valine catabolic process to isobutanol
GO_1902698|pentose catabolic process to butyrate
GO_1902699|pentose catabolic process to acetate
GO_1902700|pentose catabolic process to butan-1-ol
GO_1902701|pentose catabolic process to propan-2-ol
GO_1902702|obsolete hexose catabolic process to propan-2-ol
GO_1902703|obsolete hexose catabolic process to butan-1-ol
GO_1902704|obsolete hexose catabolic process to acetone
GO_1902705|obsolete hexose catabolic process to butyrate
GO_1902706|obsolete hexose catabolic process to acetate
GO_1902707|obsolete hexose catabolic process to ethanol
GO_1902708|response to plumbagin
GO_1902709|cellular response to plumbagin
GO_1902710|GABA receptor complex
GO_1902711|GABA-A receptor complex
GO_1902712|G protein-coupled GABA receptor complex
GO_1902713|
GO_1902714|
GO_1902715|
GO_1902716|cell cortex of growing cell tip
GO_1902717|obsolete sequestering of iron ion
GO_1902718|obsolete sequestering of copper ion
GO_1902719|obsolete extracellular sequestering of copper ion
GO_1902720|obsolete intracellular sequestering of copper ion
GO_1902721|negative regulation of prolactin secretion
GO_1902722|positive regulation of prolactin secretion
GO_1902723|negative regulation of skeletal muscle satellite cell proliferation
GO_1902724|positive regulation of skeletal muscle satellite cell proliferation
GO_1902725|negative regulation of satellite cell differentiation
GO_1902726|positive regulation of skeletal muscle satellite cell differentiation
GO_1902727|negative regulation of growth factor dependent skeletal muscle satellite cell proliferation
GO_1902728|positive regulation of growth factor dependent skeletal muscle satellite cell proliferation
GO_1902729|negative regulation of proteoglycan biosynthetic process
GO_1902731|negative regulation of chondrocyte proliferation
GO_1902732|positive regulation of chondrocyte proliferation
GO_1902733|regulation of growth plate cartilage chondrocyte differentiation
GO_1902734|regulation of receptor-mediated virion attachment to host cell
GO_1902735|negative regulation of receptor-mediated virion attachment to host cell
GO_1902736|positive regulation of receptor-mediated virion attachment to host cell
GO_1902737|dendritic filopodium
GO_1902738|regulation of chondrocyte differentiation involved in endochondral bone morphogenesis
GO_1902739|
GO_1902740|
GO_1902741|
GO_1902746|regulation of lens fiber cell differentiation
GO_1902747|negative regulation of lens fiber cell differentiation
GO_1902748|positive regulation of lens fiber cell differentiation
GO_1902752|regulation of renal amino acid absorption
GO_1902753|negative regulation of renal amino acid absorption
GO_1902754|positive regulation of renal amino acid absorption
GO_1902755|sulfurated eukaryotic molybdenum cofactor(2-) metabolic process
GO_1902756|sulfurated eukaryotic molybdenum cofactor(2-) biosynthetic process
GO_1902757|bis(molybdopterin guanine dinucleotide)molybdenum metabolic process
GO_1902759|Mo(VI)-molybdopterin cytosine dinucleotide metabolic process
GO_1902761|positive regulation of chondrocyte development
GO_1902762|regulation of embryonic skeletal joint development
GO_1902763|negative regulation of embryonic skeletal joint development
GO_1902764|positive regulation of embryonic skeletal joint development
GO_1902765|
GO_1902766|skeletal muscle satellite cell migration
GO_1902768|isoprenoid biosynthetic process via 1-deoxy-D-xylulose 5-phosphate
GO_1902769|regulation of choline O-acetyltransferase activity
GO_1902770|negative regulation of choline O-acetyltransferase activity
GO_1902771|positive regulation of choline O-acetyltransferase activity
GO_1902772|positive regulation of phosphorelay signal transduction system involved in hydrogen peroxide mediated signaling pathway
GO_1902773|GTPase activator complex
GO_1902775|mitochondrial large ribosomal subunit assembly
GO_1902776|6-sulfoquinovose(1-) metabolic process
GO_1902779|cellular response to alkane
GO_1902780|response to nonane
GO_1902781|cellular response to nonane
GO_1902782|response to decane
GO_1902783|cellular response to decane
GO_1902784|response to undecane
GO_1902785|cellular response to undecane
GO_1902786|response to dodecane
GO_1902787|cellular response to dodecane
GO_1902788|response to isooctane
GO_1902789|cellular response to isooctane
GO_1902790|undecan-2-one metabolic process
GO_1902791|undecan-2-one biosynthetic process
GO_1902792|pyrroline-5-carboxylate reductase complex
GO_1902793|glutamate decarboxylase complex
GO_1902794|siRNA-independent facultative heterochromatin formation
GO_1902795|siRNA-mediated facultative heterochromatin formation
GO_1902796|regulation of snoRNA processing
GO_1902797|negative regulation of snoRNA processing
GO_1902798|positive regulation of snoRNA processing
GO_1902799|regulation of phosphodiesterase I activity
GO_1902800|positive regulation of phosphodiesterase I activity
GO_1902801|regulation of siRNA-independent facultative heterochromatin formation
GO_1902802|regulation of siRNA-dependent facultative heterochromatin formation
GO_1902803|regulation of synaptic vesicle transport
GO_1902804|negative regulation of synaptic vesicle transport
GO_1902805|positive regulation of synaptic vesicle transport
GO_1902806|regulation of cell cycle G1/S phase transition
GO_1902807|negative regulation of cell cycle G1/S phase transition
GO_1902809|regulation of skeletal muscle fiber differentiation
GO_1902810|negative regulation of skeletal muscle fiber differentiation
GO_1902811|positive regulation of skeletal muscle fiber differentiation
GO_1902812|obsolete regulation of BMP signaling pathway involved in determination of lateral mesoderm left/right asymmetry
GO_1902813|obsolete negative regulation of BMP signaling pathway involved in determination of lateral mesoderm left/right asymmetry
GO_1902814|obsolete positive regulation of BMP signaling pathway involved in determination of lateral mesoderm left/right asymmetry
GO_1902815|N,N'-diacetylchitobiose import
GO_1902816|regulation of protein localization to microtubule
GO_1902817|negative regulation of protein localization to microtubule
GO_1902818|ethyl acetate metabolic process
GO_1902819|ethyl acetate biosynthetic process
GO_1902820|1-undecene metabolic process
GO_1902821|1-undecene biosynthetic process
GO_1902822|regulation of late endosome to lysosome transport
GO_1902823|negative regulation of late endosome to lysosome transport
GO_1902824|positive regulation of late endosome to lysosome transport
GO_1902825|
GO_1902826|
GO_1902827|
GO_1902828|
GO_1902829|regulation of spinal cord association neuron differentiation
GO_1902830|negative regulation of spinal cord association neuron differentiation
GO_1902832|negative regulation of cell proliferation in dorsal spinal cord
GO_1902833|positive regulation of cell proliferation in dorsal spinal cord
GO_1902834|regulation of proline import across plasma membrane
GO_1902835|negative regulation of proline import across plasma membrane
GO_1902836|positive regulation of proline import across plasma membrane
GO_1902837|
GO_1902838|regulation of nuclear migration along microtubule
GO_1902839|negative regulation of nuclear migration along microtubule
GO_1902840|positive regulation of nuclear migration along microtubule
GO_1902841|regulation of netrin-activated signaling pathway
GO_1902842|negative regulation of netrin-activated signaling pathway
GO_1902843|positive regulation of netrin-activated signaling pathway
GO_1902844|positive regulation of spinal cord association neuron differentiation by negative regulation of canonical Wnt signaling pathway
GO_1902847|regulation of neuronal signal transduction
GO_1902848|negative regulation of neuronal signal transduction
GO_1902849|positive regulation of neuronal signal transduction
GO_1902852|regulation of nuclear migration during mitotic telophase
GO_1902853|negative regulation of nuclear migration during mitotic telophase
GO_1902854|positive regulation of nuclear migration during mitotic telophase
GO_1902855|regulation of non-motile cilium assembly
GO_1902856|negative regulation of non-motile cilium assembly
GO_1902857|positive regulation of non-motile cilium assembly
GO_1902858|propionyl-CoA metabolic process
GO_1902859|propionyl-CoA catabolic process
GO_1902860|propionyl-CoA biosynthetic process
GO_1902861|
GO_1902862|obsolete glycerol catabolic process to glycerone phosphate
GO_1902863|regulation of embryonic camera-type eye development
GO_1902864|negative regulation of embryonic camera-type eye development
GO_1902865|positive regulation of embryonic camera-type eye development
GO_1902866|regulation of retina development in camera-type eye
GO_1902869|regulation of amacrine cell differentiation
GO_1902870|negative regulation of amacrine cell differentiation
GO_1902871|positive regulation of amacrine cell differentiation
GO_1902872|regulation of horizontal cell localization
GO_1902873|negative regulation of horizontal cell localization
GO_1902874|positive regulation of horizontal cell localization
GO_1902875|regulation of embryonic pattern specification
GO_1902876|negative regulation of embryonic pattern specification
GO_1902877|positive regulation of embryonic pattern specification
GO_1902878|obsolete regulation of BMP signaling pathway involved in spinal cord association neuron specification
GO_1902879|obsolete negative regulation of BMP signaling pathway involved in spinal cord association neuron specification
GO_1902880|obsolete positive regulation of BMP signaling pathway involved in spinal cord association neuron specification
GO_1902881|
GO_1902885|obsolete regulation of proteasome-activating ATPase activity
GO_1902886|obsolete negative regulation of proteasome-activating ATPase activity
GO_1902887|obsolete positive regulation of proteasome-activating ATPase activity
GO_1902888|protein localization to astral microtubule
GO_1902890|regulation of root hair elongation
GO_1902891|negative regulation of root hair elongation
GO_1902892|positive regulation of root hair elongation
GO_1902893|regulation of miRNA transcription
GO_1902894|negative regulation of miRNA transcription
GO_1902895|positive regulation of miRNA transcription
GO_1902896|terminal web assembly
GO_1902897|regulation of postsynaptic density protein 95 clustering
GO_1902898|fatty acid methyl ester metabolic process
GO_1902899|fatty acid methyl ester biosynthetic process
GO_1902900|gut granule assembly
GO_1902901|obsolete positive regulation of transcription from RNA polymerase II promoter involved in stress response to cadmium ion
GO_1902902|negative regulation of autophagosome assembly
GO_1902906|proteasome storage granule assembly
GO_1902907|proteasome storage granule disassembly
GO_1902908|regulation of melanosome transport
GO_1902909|negative regulation of melanosome transport
GO_1902910|positive regulation of melanosome transport
GO_1902912|pyruvate kinase complex
GO_1902917|positive regulation of mating projection assembly
GO_1902918|poly(5-hydroxyvalerate) metabolic process
GO_1902919|poly(5-hydroxyvalerate) biosynthetic process
GO_1902920|poly(hydroxyvalerate) metabolic process
GO_1902921|poly(hydroxyvalerate) biosynthetic process
GO_1902922|poly(3-hydroxyvalerate) metabolic process
GO_1902923|poly(3-hydroxyvalerate) biosynthetic process
GO_1902924|poly(hydroxyalkanoate) biosynthetic process from glucose
GO_1902925|poly(hydroxyalkanoate) biosynthetic process from fatty acid
GO_1902926|inulin metabolic process
GO_1902927|inulin catabolic process
GO_1902928|inulin biosynthetic process
GO_1902929|plasma membrane of growing cell tip
GO_1902933|isopentenol metabolic process
GO_1902934|isopentenol biosynthetic process
GO_1902935|protein localization to septin ring
GO_1902937|inward rectifier potassium channel complex
GO_1902938|regulation of intracellular calcium activated chloride channel activity
GO_1902939|negative regulation of intracellular calcium activated chloride channel activity
GO_1902940|positive regulation of intracellular calcium activated chloride channel activity
GO_1902941|regulation of voltage-gated chloride channel activity
GO_1902942|negative regulation of voltage-gated chloride channel activity
GO_1902943|positive regulation of voltage-gated chloride channel activity
GO_1902944|aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process
GO_1902945|metalloendopeptidase activity involved in amyloid precursor protein catabolic process
GO_1902947|regulation of tau-protein kinase activity
GO_1902948|negative regulation of tau-protein kinase activity
GO_1902949|positive regulation of tau-protein kinase activity
GO_1902950|regulation of dendritic spine maintenance
GO_1902951|negative regulation of dendritic spine maintenance
GO_1902952|positive regulation of dendritic spine maintenance
GO_1902953|positive regulation of ER to Golgi vesicle-mediated transport
GO_1902954|regulation of early endosome to recycling endosome transport
GO_1902955|positive regulation of early endosome to recycling endosome transport
GO_1902956|regulation of mitochondrial electron transport, NADH to ubiquinone
GO_1902957|negative regulation of mitochondrial electron transport, NADH to ubiquinone
GO_1902958|positive regulation of mitochondrial electron transport, NADH to ubiquinone
GO_1902959|regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process
GO_1902960|negative regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process
GO_1902961|positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process
GO_1902962|regulation of metalloendopeptidase activity involved in amyloid precursor protein catabolic process
GO_1902963|negative regulation of metalloendopeptidase activity involved in amyloid precursor protein catabolic process
GO_1902964|positive regulation of metalloendopeptidase activity involved in amyloid precursor protein catabolic process
GO_1902965|regulation of protein localization to early endosome
GO_1902966|positive regulation of protein localization to early endosome
GO_1902967|protein localization to mitotic spindle midzone
GO_1902968|
GO_1902969|mitotic DNA replication
GO_1902970|premeiotic DNA replication DNA duplex unwinding
GO_1902971|mitotic DNA replication DNA duplex unwinding
GO_1902972|premeiotic DNA replication DNA ligation
GO_1902973|mitotic DNA replication DNA ligation
GO_1902975|mitotic DNA replication initiation
GO_1902976|premeiotic DNA replication preinitiation complex assembly
GO_1902977|mitotic DNA replication preinitiation complex assembly
GO_1902978|premeiotic DNA replication termination
GO_1902979|mitotic DNA replication termination
GO_1902980|synthesis of RNA primer involved in premeiotic DNA replication
GO_1902981|synthesis of RNA primer involved in mitotic DNA replication
GO_1902982|DNA strand elongation involved in premeiotic DNA replication
GO_1902983|DNA strand elongation involved in mitotic DNA replication
GO_1902984|pre-replicative complex assembly involved in premeiotic DNA replication
GO_1902985|mitotic pre-replicative complex assembly
GO_1902986|regulation of lysine biosynthetic process via aminoadipic acid
GO_1902987|negative regulation of lysine biosynthetic process via aminoadipic acid
GO_1902988|neurofibrillary tangle assembly
GO_1902989|meiotic telomere maintenance via semi-conservative replication
GO_1902990|mitotic telomere maintenance via semi-conservative replication
GO_1902994|regulation of phospholipid efflux
GO_1902995|positive regulation of phospholipid efflux
GO_1902996|regulation of neurofibrillary tangle assembly
GO_1902997|negative regulation of neurofibrillary tangle assembly
GO_1902998|positive regulation of neurofibrillary tangle assembly
GO_1902999|negative regulation of phospholipid efflux
GO_1903000|regulation of lipid transport across blood-brain barrier
GO_1903001|negative regulation of lipid transport across blood-brain barrier
GO_1903002|positive regulation of lipid transport across blood-brain barrier
GO_1903003|positive regulation of protein deubiquitination
GO_1903004|regulation of protein K63-linked deubiquitination
GO_1903005|negative regulation of protein K63-linked deubiquitination
GO_1903006|positive regulation of protein K63-linked deubiquitination
GO_1903007|positive regulation of Lys63-specific deubiquitinase activity
GO_1903009|proteasome complex disassembly
GO_1903010|regulation of bone development
GO_1903011|negative regulation of bone development
GO_1903012|positive regulation of bone development
GO_1903013|response to differentiation-inducing factor 1
GO_1903014|cellular response to differentiation-inducing factor 1
GO_1903015|regulation of exo-alpha-sialidase activity
GO_1903016|negative regulation of exo-alpha-sialidase activity
GO_1903017|positive regulation of exo-alpha-sialidase activity
GO_1903021|regulation of phosphodiesterase activity, acting on 3'-phosphoglycolate-terminated DNA strands
GO_1903022|positive regulation of phosphodiesterase activity, acting on 3'-phosphoglycolate-terminated DNA strands
GO_1903023|regulation of ascospore-type prospore membrane formation
GO_1903024|positive regulation of ascospore-type prospore membrane formation
GO_1903025|regulation of RNA polymerase II regulatory region sequence-specific DNA binding
GO_1903026|negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding
GO_1903027|regulation of opsonization
GO_1903028|positive regulation of opsonization
GO_1903031|regulation of microtubule plus-end binding
GO_1903032|negative regulation of microtubule plus-end binding
GO_1903033|positive regulation of microtubule plus-end binding
GO_1903040|exon-exon junction complex assembly
GO_1903041|regulation of chondrocyte hypertrophy
GO_1903042|negative regulation of chondrocyte hypertrophy
GO_1903043|positive regulation of chondrocyte hypertrophy
GO_1903045|neural crest cell migration involved in sympathetic nervous system development
GO_1903048|regulation of acetylcholine-gated cation channel activity
GO_1903049|negative regulation of acetylcholine-gated cation channel activity
GO_1903056|regulation of melanosome organization
GO_1903057|negative regulation of melanosome organization
GO_1903058|positive regulation of melanosome organization
GO_1903062|regulation of reverse cholesterol transport
GO_1903063|negative regulation of reverse cholesterol transport
GO_1903064|positive regulation of reverse cholesterol transport
GO_1903065|obsolete protein localization to cell tip involved in positive regulation of establishment of cell polarity regulating cell shape
GO_1903068|positive regulation of protein localization to cell tip
GO_1903069|regulation of ER-associated ubiquitin-dependent protein catabolic process
GO_1903070|negative regulation of ER-associated ubiquitin-dependent protein catabolic process
GO_1903071|positive regulation of ER-associated ubiquitin-dependent protein catabolic process
GO_1903072|regulation of death-inducing signaling complex assembly
GO_1903073|negative regulation of death-inducing signaling complex assembly
GO_1903074|TRAIL death-inducing signaling complex assembly
GO_1903075|pyridoxine import across plasma membrane
GO_1903079|obsolete negative regulation of protein localization to cell tip involved in positive regulation of establishment of cell polarity regulating cell shape
GO_1903080|regulation of C-C chemokine receptor CCR7 signaling pathway
GO_1903081|negative regulation of C-C chemokine receptor CCR7 signaling pathway
GO_1903082|positive regulation of C-C chemokine receptor CCR7 signaling pathway
GO_1903085|regulation of sinapate ester biosynthetic process
GO_1903086|negative regulation of sinapate ester biosynthetic process
GO_1903087|mitotic spindle pole body duplication
GO_1903088|5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transport
GO_1903089|5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transporter activity
GO_1903093|regulation of protein K48-linked deubiquitination
GO_1903094|negative regulation of protein K48-linked deubiquitination
GO_1903096|protein localization to meiotic spindle midzone
GO_1903097|obsolete regulation of CENP-A containing nucleosome assembly
GO_1903098|obsolete negative regulation of CENP-A containing nucleosome assembly
GO_1903099|obsolete positive regulation of CENP-A containing nucleosome assembly
GO_1903100|1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process
GO_1903101|1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate catabolic process
GO_1903102|1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate biosynthetic process
GO_1903103|potassium:proton antiporter complex
GO_1903104|obsolete regulation of insulin receptor signaling pathway involved in determination of adult lifespan
GO_1903105|obsolete negative regulation of insulin receptor signaling pathway involved in determination of adult lifespan
GO_1903106|obsolete positive regulation of insulin receptor signaling pathway involved in determination of adult lifespan
GO_1903107|obsolete insulin receptor signaling pathway involved in dauer larval development
GO_1903108|regulation of mitochondrial transcription
GO_1903109|positive regulation of mitochondrial transcription
GO_1903110|regulation of single-strand break repair via homologous recombination
GO_1903111|negative regulation of single-strand break repair via homologous recombination
GO_1903112|positive regulation of single-strand break repair via homologous recombination
GO_1903113|copper ion transmembrane transporter complex
GO_1903114|silver ion transmembrane transporter complex
GO_1903117|obsolete regulation of actin filament organization involved in cytokinetic actomyosin contractile ring assembly
GO_1903118|obsolete urate homeostasis
GO_1903120|protein localization to actin filament bundle
GO_1903121|regulation of TRAIL-activated apoptotic signaling pathway
GO_1903122|negative regulation of TRAIL-activated apoptotic signaling pathway
GO_1903123|regulation of thioredoxin peroxidase activity
GO_1903124|negative regulation of thioredoxin peroxidase activity
GO_1903125|negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation
GO_1903126|negative regulation of centriole-centriole cohesion
GO_1903127|positive regulation of centriole-centriole cohesion
GO_1903128|
GO_1903129|
GO_1903130|
GO_1903132|regulation of tube lumen cavitation
GO_1903133|negative regulation of tube lumen cavitation
GO_1903134|obsolete trehalose catabolic process involved in cellular response to stress
GO_1903135|cupric ion binding
GO_1903136|cuprous ion binding
GO_1903137|regulation of cell wall integrity MAPK cascade
GO_1903138|negative regulation of cell wall integrity MAPK cascade
GO_1903139|positive regulation of cell wall integrity MAPK cascade
GO_1903140|regulation of establishment of endothelial barrier
GO_1903141|negative regulation of establishment of endothelial barrier
GO_1903142|positive regulation of establishment of endothelial barrier
GO_1903143|adrenomedullin receptor complex
GO_1903144|actomyosin contractile ring actin filament
GO_1903145|actin filament of cell cortex of cell tip
GO_1903148|obsolete uracil transmembrane transporter activity involved in uracil import into cell
GO_1903149|obsolete adenine transmembrane transporter activity involved in adenine import into cell
GO_1903150|obsolete calcium ion transmembrane transporter activity involved in calcium ion import into cell
GO_1903151|obsolete carbohydrate transmembrane transporter activity involved in carbohydrate import into cell
GO_1903152|obsolete copper ion transmembrane transporter activity involved in copper ion import into cell
GO_1903153|obsolete ferrous iron transmembrane transporter activity involved in ferrous iron import into cell
GO_1903154|obsolete glucose transmembrane transporter activity involved in glucose import into cell
GO_1903155|obsolete glutathione transmembrane transporter activity involved in glutathione import into cell
GO_1903156|obsolete guanine transmembrane transporter activity involved in guanine import into cell
GO_1903157|obsolete iron ion transmembrane transporter activity involved in iron ion import into cell
GO_1903158|obsolete L-glutamate transmembrane transporter activity involved in L-glutamate import into cell
GO_1903159|obsolete malate transmembrane transporter activity involved in malate import into cell
GO_1903160|obsolete nickel cation transmembrane transporter activity involved in nickel cation import into cell
GO_1903161|obsolete pantothenate transmembrane transporter activity involved in pantothenate import into cell
GO_1903162|obsolete serine transmembrane transporter activity involved in serine import into cell
GO_1903163|obsolete sodium ion transmembrane transporter activity involved in sodium ion import into cell
GO_1903164|obsolete succinate transmembrane transporter activity involved in succinate import into cell
GO_1903165|response to polycyclic arene
GO_1903166|cellular response to polycyclic arene
GO_1903167|regulation of pyrroline-5-carboxylate reductase activity
GO_1903168|positive regulation of pyrroline-5-carboxylate reductase activity
GO_1903171|obsolete carbon dioxide homeostasis
GO_1903172|obsolete cellular carbon dioxide homeostasis
GO_1903176|regulation of tyrosine 3-monooxygenase activity
GO_1903177|negative regulation of tyrosine 3-monooxygenase activity
GO_1903178|positive regulation of tyrosine 3-monooxygenase activity
GO_1903179|regulation of dopamine biosynthetic process
GO_1903180|negative regulation of dopamine biosynthetic process
GO_1903181|positive regulation of dopamine biosynthetic process
GO_1903182|regulation of SUMO transferase activity
GO_1903183|negative regulation of SUMO transferase activity
GO_1903184|L-dopa metabolic process
GO_1903185|L-dopa biosynthetic process
GO_1903186|regulation of vitellogenesis
GO_1903187|negative regulation of vitellogenesis
GO_1903188|positive regulation of vitellogenesis
GO_1903190|glyoxal catabolic process
GO_1903191|glyoxal biosynthetic process
GO_1903192|sesquarterpene metabolic process
GO_1903193|sesquarterpene biosynthetic process
GO_1903195|regulation of L-dopa biosynthetic process
GO_1903196|negative regulation of L-dopa biosynthetic process
GO_1903197|positive regulation of L-dopa biosynthetic process
GO_1903198|regulation of L-dopa decarboxylase activity
GO_1903199|negative regulation of L-dopa decarboxylase activity
GO_1903200|positive regulation of L-dopa decarboxylase activity
GO_1903201|obsolete regulation of oxidative stress-induced cell death
GO_1903202|obsolete negative regulation of oxidative stress-induced cell death
GO_1903203|obsolete regulation of oxidative stress-induced neuron death
GO_1903204|obsolete negative regulation of oxidative stress-induced neuron death
GO_1903205|obsolete regulation of hydrogen peroxide-induced cell death
GO_1903206|obsolete negative regulation of hydrogen peroxide-induced cell death
